a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample012_1a3238c3,1,12,sample198_ee0e18d2,1,3,2,0,32281,6924,7,2
sample016_ac47e9d0,1,12,sample064_0b854809,1,5,1,0,16377,10852,2,1
sample061_cdf92033,1,4,sample025_76911851,1,12,2,0,13488,10504,1,1
sample115_2bd91ef1,1,12,sample194_328dbd2a,1,12,2,0,21419,11610,2,2
sample212_4d3716b5,1,12,sample090_e7880a98,1,12,1,0,18492,10720,2,1
sample081_44c869d5,1,12,sample062_daaf900c,1,11,1,0,15504,13856,1,1
sample108_d2b794a9,1,12,sample077_0b68117f,1,12,2,0,20170,34179,2,2
sample117_4997d25a,1,12,sample038_e6b5ca93,1,3,1,0,20409,10642,1,1
sample180_e3d8d698,1,3,sample164_6086e75c,1,5,1,0,17570,15368,2,1
sample228_398bd9c3,1,12,sample087_61baefa8,1,6,2,0,18392,10384,2,2
sample237_9472557e,1,3,sample113_8ada680d,1,11,2,0,19773,11024,2,1
sample248_79b27f7d,1,6,sample244_f01a5078,1,6,2,0,8296,15440,1,2
sample011_25be81fc,1,12,sample171_02b13e1c,1,12,2,0,21066,12704,2,2
sample029_6457d3d0,1,10,sample051_cadff688,1,9,1,0,20001,14184,2,1
sample207_2ca97251,1,12,sample160_ed88263c,1,5,1,0,15491,16767,1,1
