a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample006_fe39613e,1,12,sample191_3361e30f,1,3,2,0,2918,14744,1,1
sample004_a72e2802,1,3,sample192_144a35f2,1,5,1,0,1089,4112,1,1
sample194_328dbd2a,1,12,sample003_627b76ff,1,10,2,0,13634,10411,2,4
sample007_6d0d70d7,1,6,sample199_40e217d7,1,3,2,0,9779,8542,1,2
sample200_d8677912,1,5,sample005_a84d1a77,1,10,2,0,3774,4398,1,1
sample009_36a064d0,1,12,sample200_d8677912,1,5,2,0,15293,5129,1,2
sample201_5430f370,1,3,sample003_627b76ff,1,10,1,0,3828,4961,1,1
sample201_5430f370,1,3,sample006_fe39613e,1,12,1,0,6077,7388,2,1
sample006_fe39613e,1,12,sample203_3b23436c,1,4,1,0,7074,7252,2,1
sample203_3b23436c,1,4,sample010_86c5159a,1,11,2,0,5676,3232,1,1
sample005_a84d1a77,1,10,sample204_baf7f138,1,10,1,0,1385,5672,1,1
sample204_baf7f138,1,10,sample009_36a064d0,1,12,1,0,7649,19567,2,2
sample205_29b101bc,1,10,sample005_a84d1a77,1,10,2,0,7046,3255,1,1
sample205_29b101bc,1,10,sample009_36a064d0,1,12,1,0,14987,14745,3,28
sample003_627b76ff,1,10,sample227_23672cca,1,12,1,0,2684,5694,1,1
