a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample247_388ecf10,1,7,sample009_36a064d0,1,12,1,0,2145,1110,1,1
sample007_6d0d70d7,1,6,sample050_4cbe8ba0,1,3,2,0,6592,2712,1,1
sample083_f5ef4dc7,1,12,sample003_627b76ff,1,10,1,0,1664,4111,1,1
sample089_101bfe11,1,12,sample004_a72e2802,1,3,1,0,1742,1376,1,1
sample092_7e1324ef,1,3,sample005_a84d1a77,1,10,2,0,880,2412,1,2
sample093_1c1b1da8,1,11,sample002_4e908fd2,1,3,1,0,5856,959,1,1
sample093_1c1b1da8,1,11,sample006_fe39613e,1,12,2,0,1241,2605,1,2
sample093_1c1b1da8,1,11,sample004_a72e2802,1,3,1,0,967,10351,1,2
sample003_627b76ff,1,10,sample099_122a179d,1,6,2,0,1126,5008,1,2
sample010_86c5159a,1,11,sample124_3f5d1a8c,1,12,1,0,7543,95,1,1
sample125_1b5a54f4,1,12,sample002_4e908fd2,1,3,2,0,6808,1527,1,1
sample005_a84d1a77,1,10,sample125_1b5a54f4,1,12,1,0,951,2405,1,2
sample127_7d7b8f84,1,12,sample009_36a064d0,1,12,1,0,879,3408,1,2
sample127_7d7b8f84,1,12,sample007_6d0d70d7,1,6,1,0,11600,1238,1,1
sample128_3857eff1,1,12,sample002_4e908fd2,1,3,2,0,1031,1851,1,2
