a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample010_86c5159a,1,11,sample161_04667130,1,12,1,0,15505,15244,1,1
sample001_3c29c5ba,1,3,sample162_2cc0400c,1,12,2,0,15440,15410,1,1
sample002_4e908fd2,1,3,sample162_2cc0400c,1,12,1,0,15187,13810,1,1
sample003_627b76ff,1,10,sample162_2cc0400c,1,12,1,0,15356,15122,1,1
sample168_22e2db9e,1,3,sample005_a84d1a77,1,10,1,0,15473,15226,1,1
sample168_22e2db9e,1,3,sample006_fe39613e,1,12,1,0,14890,15386,1,1
sample168_22e2db9e,1,3,sample007_6d0d70d7,1,6,1,0,15112,15387,1,1
sample168_22e2db9e,1,3,sample009_36a064d0,1,12,1,0,15148,15399,1,1
sample010_86c5159a,1,11,sample168_22e2db9e,1,3,2,0,15121,12552,1,1
sample169_2e4395a7,1,6,sample001_3c29c5ba,1,3,1,0,15542,15167,1,1
sample169_2e4395a7,1,6,sample002_4e908fd2,1,3,1,0,15093,15121,1,1
sample003_627b76ff,1,10,sample169_2e4395a7,1,6,1,0,15090,15100,1,1
sample005_a84d1a77,1,10,sample169_2e4395a7,1,6,1,0,15121,9392,1,1
sample006_fe39613e,1,12,sample169_2e4395a7,1,6,1,0,12637,11990,1,1
sample008_056930c5,1,10,sample169_2e4395a7,1,6,2,0,15465,15151,1,1
