a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample003_627b76ff,1,10,sample247_388ecf10,1,7,2,0,16796,15458,1,1
sample006_fe39613e,1,12,sample051_cadff688,1,9,2,0,15453,15458,1,1
sample092_7e1324ef,1,3,sample001_3c29c5ba,1,3,2,0,15435,15443,1,1
sample099_122a179d,1,6,sample005_a84d1a77,1,10,2,0,15496,15437,1,1
sample124_3f5d1a8c,1,12,sample004_a72e2802,1,3,2,0,12816,15464,1,1
sample125_1b5a54f4,1,12,sample003_627b76ff,1,10,2,0,15436,15083,1,1
sample128_3857eff1,1,12,sample001_3c29c5ba,1,3,2,0,16655,15075,1,1
sample005_a84d1a77,1,10,sample130_ed256ee8,1,12,1,0,15063,16659,1,1
sample008_056930c5,1,10,sample139_6badff7b,1,12,2,0,15477,15458,1,1
sample149_46f6fc34,1,3,sample001_3c29c5ba,1,3,2,0,16705,15076,1,1
sample161_04667130,1,12,sample005_a84d1a77,1,10,2,0,16635,15082,1,1
sample008_056930c5,1,10,sample169_2e4395a7,1,6,1,0,15067,16718,1,1
sample173_2377df9e,1,3,sample007_6d0d70d7,1,6,2,0,15452,15490,1,1
sample002_4e908fd2,1,3,sample176_db87a5a2,1,4,1,0,15431,15452,1,1
sample185_0ea0912d,1,3,sample005_a84d1a77,1,10,2,0,15475,15086,1,1
