a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample006_fe39613e,1,12,sample200_d8677912,1,5,1,0,16397,15162,1,1
sample005_a84d1a77,1,10,sample201_5430f370,1,3,1,0,16149,15224,1,1
sample004_a72e2802,1,3,sample204_baf7f138,1,10,2,0,16132,15224,1,1
sample216_ffa6ee05,1,12,sample009_36a064d0,1,12,1,0,15823,15218,1,1
sample217_6377ae91,1,12,sample007_6d0d70d7,1,6,2,0,16090,15176,1,1
sample004_a72e2802,1,3,sample227_23672cca,1,12,2,0,15074,15394,1,1
sample231_a7ca1cbe,1,3,sample004_a72e2802,1,3,1,0,16165,15160,1,1
sample232_cf98e3c8,1,3,sample003_627b76ff,1,10,2,0,16340,15229,1,1
sample238_fdf5ca49,1,3,sample002_4e908fd2,1,3,1,0,15138,15172,1,1
sample002_4e908fd2,1,3,sample239_70abef06,1,3,2,0,16076,15448,1,1
sample244_f01a5078,1,6,sample001_3c29c5ba,1,3,2,0,15132,15188,1,1
sample003_627b76ff,1,10,sample245_2638b53c,1,7,1,0,15061,15391,1,1
sample001_3c29c5ba,1,3,sample246_e8541fc4,1,8,1,0,15083,15353,1,1
sample010_86c5159a,1,11,sample247_388ecf10,1,7,1,0,15134,15189,1,1
sample248_79b27f7d,1,6,sample001_3c29c5ba,1,3,2,0,15161,15109,1,1
