a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample002_4e908fd2,1,3,sample041_06592579,1,10,2,0,15459,15243,1,1
sample047_2aff3b5d,1,9,sample007_6d0d70d7,1,6,1,0,15402,15482,1,1
sample047_2aff3b5d,1,9,sample008_056930c5,1,10,1,0,15206,13816,1,1
sample010_86c5159a,1,11,sample047_2aff3b5d,1,9,1,0,15219,15109,1,1
sample004_a72e2802,1,3,sample048_e4494277,1,12,2,0,15419,15177,1,1
sample005_a84d1a77,1,10,sample048_e4494277,1,12,2,0,13948,15129,1,1
sample006_fe39613e,1,12,sample048_e4494277,1,12,2,0,15443,15111,1,1
sample008_056930c5,1,10,sample048_e4494277,1,12,2,0,15169,15149,1,1
sample050_4cbe8ba0,1,3,sample005_a84d1a77,1,10,2,0,15468,13314,1,1
sample007_6d0d70d7,1,6,sample050_4cbe8ba0,1,3,2,0,15154,15159,1,1
sample050_4cbe8ba0,1,3,sample008_056930c5,1,10,1,0,15145,15120,1,1
sample009_36a064d0,1,12,sample050_4cbe8ba0,1,3,1,0,15482,15162,1,1
sample010_86c5159a,1,11,sample050_4cbe8ba0,1,3,2,0,15151,9198,1,1
sample051_cadff688,1,9,sample001_3c29c5ba,1,3,1,0,12645,13519,1,1
sample002_4e908fd2,1,3,sample051_cadff688,1,9,1,0,15122,14099,1,1
