a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample005_a84d1a77,1,10,sample205_29b101bc,1,10,1,0,16334,15626,1,1
sample205_29b101bc,1,10,sample005_a84d1a77,1,10,2,0,15094,15090,1,1
sample205_29b101bc,1,10,sample002_4e908fd2,1,3,1,0,15077,16377,1,1
sample205_29b101bc,1,10,sample002_4e908fd2,1,3,1,0,24151,30163,2,2
sample001_3c29c5ba,1,3,sample205_29b101bc,1,10,2,0,16498,15116,1,1
sample001_3c29c5ba,1,3,sample205_29b101bc,1,10,1,0,15070,15102,1,1
sample216_ffa6ee05,1,12,sample009_36a064d0,1,12,2,0,16422,15586,1,1
sample009_36a064d0,1,12,sample216_ffa6ee05,1,12,2,0,15070,15077,1,1
sample010_86c5159a,1,11,sample216_ffa6ee05,1,12,2,0,16386,15083,1,1
sample216_ffa6ee05,1,12,sample010_86c5159a,1,11,2,0,15069,15081,1,1
sample003_627b76ff,1,10,sample217_6377ae91,1,12,1,0,16390,15610,1,1
sample217_6377ae91,1,12,sample003_627b76ff,1,10,2,0,15069,15081,1,1
sample217_6377ae91,1,12,sample008_056930c5,1,10,2,0,15069,16305,1,1
sample217_6377ae91,1,12,sample008_056930c5,1,10,2,0,15070,15078,1,1
sample007_6d0d70d7,1,6,sample217_6377ae91,1,12,1,0,16317,15085,1,1
