a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample001_3c29c5ba,1,3,sample140_9355c8d3,1,12,1,0,15556,15312,1,1
sample002_4e908fd2,1,3,sample140_9355c8d3,1,12,1,0,30635,30314,2,2
sample140_9355c8d3,1,12,sample003_627b76ff,1,10,2,0,15086,15406,1,1
sample004_a72e2802,1,3,sample140_9355c8d3,1,12,1,0,30311,15186,2,1
sample140_9355c8d3,1,12,sample005_a84d1a77,1,10,2,0,15188,15416,1,1
sample006_fe39613e,1,12,sample140_9355c8d3,1,12,1,0,15186,17941,1,2
sample140_9355c8d3,1,12,sample007_6d0d70d7,1,6,1,0,15117,15374,1,1
sample140_9355c8d3,1,12,sample009_36a064d0,1,12,2,0,15099,15387,1,1
sample140_9355c8d3,1,12,sample010_86c5159a,1,11,2,0,30162,15397,2,1
sample148_b944223f,1,12,sample008_056930c5,1,10,1,0,15232,15196,1,1
sample009_36a064d0,1,12,sample148_b944223f,1,12,1,0,15090,15130,1,1
sample010_86c5159a,1,11,sample148_b944223f,1,12,1,0,30187,15152,2,1
sample001_3c29c5ba,1,3,sample149_46f6fc34,1,3,2,0,15089,15498,1,1
sample149_46f6fc34,1,3,sample002_4e908fd2,1,3,2,0,15144,7763,1,1
sample149_46f6fc34,1,3,sample003_627b76ff,1,10,2,0,15128,15170,1,1
