a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample009_36a064d0,1,12,sample130_ed256ee8,1,12,1,0,5990,1440,1,1
sample005_a84d1a77,1,10,sample131_26551668,1,12,2,0,743,1488,1,1
sample131_26551668,1,12,sample007_6d0d70d7,1,6,1,0,2226,833,1,1
sample136_390f0707,1,10,sample004_a72e2802,1,3,2,0,1104,914,1,1
sample005_a84d1a77,1,10,sample136_390f0707,1,10,1,0,1920,767,1,1
sample136_390f0707,1,10,sample008_056930c5,1,10,2,0,832,968,1,1
sample009_36a064d0,1,12,sample136_390f0707,1,10,2,0,1567,927,1,1
sample136_390f0707,1,10,sample010_86c5159a,1,11,1,0,1911,1104,1,1
sample137_f533bb44,1,11,sample002_4e908fd2,1,3,2,0,1288,664,1,1
sample137_f533bb44,1,11,sample003_627b76ff,1,10,2,0,1116,759,1,1
sample006_fe39613e,1,12,sample137_f533bb44,1,11,1,0,1424,681,1,1
sample137_f533bb44,1,11,sample007_6d0d70d7,1,6,2,0,1026,1005,1,1
sample009_36a064d0,1,12,sample137_f533bb44,1,11,1,0,841,790,1,1
sample139_6badff7b,1,12,sample006_fe39613e,1,12,2,0,1024,1431,1,1
sample139_6badff7b,1,12,sample008_056930c5,1,10,1,0,12392,15099,1,1
