a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample001_3c29c5ba,1,3,sample140_9355c8d3,1,12,1,0,3415,1183,2,1
sample004_a72e2802,1,3,sample140_9355c8d3,1,12,2,0,1191,1911,1,1
sample006_fe39613e,1,12,sample140_9355c8d3,1,12,1,0,14388,887,1,1
sample010_86c5159a,1,11,sample148_b944223f,1,12,2,0,720,3814,1,1
sample149_46f6fc34,1,3,sample002_4e908fd2,1,3,1,0,1640,999,1,1
sample007_6d0d70d7,1,6,sample149_46f6fc34,1,3,2,0,1824,1287,1,1
sample149_46f6fc34,1,3,sample009_36a064d0,1,12,1,0,2464,839,1,1
sample149_46f6fc34,1,3,sample010_86c5159a,1,11,2,0,1192,903,1,1
sample150_0515f210,1,3,sample001_3c29c5ba,1,3,1,0,1544,959,1,1
sample161_04667130,1,12,sample001_3c29c5ba,1,3,2,0,1912,1695,1,1
sample005_a84d1a77,1,10,sample161_04667130,1,12,2,0,2303,1656,1,1
sample161_04667130,1,12,sample007_6d0d70d7,1,6,1,0,2032,1127,1,1
sample009_36a064d0,1,12,sample161_04667130,1,12,2,0,1262,719,1,1
sample010_86c5159a,1,11,sample161_04667130,1,12,1,0,2064,1447,1,1
sample002_4e908fd2,1,3,sample162_2cc0400c,1,12,1,0,15102,16189,1,1
