a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample127_7d7b8f84,1,12,sample182_fc65241d,1,3,1,0,16315,17736,1,2
sample087_61baefa8,1,6,sample156_fd7b9fa4,1,8,1,0,1296,17362,1,2
sample103_540aea48,1,12,sample213_d8480af4,1,3,1,0,9016,1327,1,1
sample198_ee0e18d2,1,3,sample045_14ac45b4,1,3,1,0,10343,1407,1,1
sample223_e7455493,1,4,sample062_daaf900c,1,11,1,0,11031,1393,1,1
sample193_a3aba001,1,3,sample122_e1166b1d,1,12,2,0,7290,1558,1,1
sample179_5d46b53e,1,3,sample049_fae6bd3c,1,3,2,0,7528,1296,1,1
sample007_946106c1,1,6,sample028_28cee35c,1,8,1,0,1984,1655,1,1
sample202_3a6e070e,1,6,sample180_e3d8d698,1,3,1,0,1840,2103,1,1
sample104_e61bf93a,1,3,sample147_b31be30b,1,10,2,0,16512,10968,2,2
sample171_02b13e1c,1,12,sample186_e5557310,1,3,1,0,4041,3773,1,1
sample100_7eeb677c,1,7,sample197_9fb7ce5f,1,4,2,0,1312,7948,2,2
sample118_96a1642f,1,10,sample217_6377ae91,1,12,1,0,3911,2766,2,2
sample144_29c8262d,1,12,sample142_1985425c,1,3,1,0,6857,1325,1,1
sample034_3c0550fc,1,12,sample116_e242d5ac,1,12,1,0,15474,16278,1,1
