a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample186_e5557310,1,3,sample004_a72e2802,1,3,1,0,16367,16208,1,1
sample009_36a064d0,1,12,sample198_ee0e18d2,1,3,2,0,16178,16294,1,1
sample006_fe39613e,1,12,sample200_d8677912,1,5,1,0,16210,16207,1,1
sample004_a72e2802,1,3,sample203_3b23436c,1,4,2,0,29267,913,2,1
sample204_baf7f138,1,10,sample006_fe39613e,1,12,2,0,7087,2735,1,1
sample231_a7ca1cbe,1,3,sample010_86c5159a,1,11,2,0,1287,26129,1,3
sample006_fe39613e,1,12,sample232_cf98e3c8,1,3,2,0,1806,6831,2,3
sample233_4e88157a,1,3,sample003_627b76ff,3,10,2,0,960,1023,1,1
sample235_ea92f26e,1,12,sample001_3c29c5ba,1,3,1,0,7271,2967,1,1
sample235_ea92f26e,1,12,sample008_056930c5,1,10,1,0,9878,2631,1,1
sample236_f3d5c89f,1,3,sample007_6d0d70d7,1,6,2,0,10064,16435,1,1
sample005_a84d1a77,1,10,sample237_9472557e,1,3,2,0,10982,1623,1,1
sample237_9472557e,1,3,sample009_36a064d0,1,12,1,0,16919,976,2,1
sample238_fdf5ca49,1,3,sample010_86c5159a,1,11,1,0,11126,2263,1,1
sample239_70abef06,1,3,sample003_627b76ff,1,10,2,0,9279,6030,1,1
