a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample120_df4b6c69,1,9,sample226_2d7ef8de,1,12,2,0,31489,31752,2,3
sample209_bed041d7,1,3,sample129_f22c6f56,1,12,1,0,16462,7304,1,1
sample021_d21d4bb3,1,9,sample243_1ced9527,1,8,2,0,15655,10864,1,1
sample166_8454c459,1,4,sample122_e1166b1d,1,12,1,0,15601,10704,1,1
sample081_44c869d5,1,12,sample229_f92eb5b1,1,12,1,0,15636,15634,1,1
sample125_1b5a54f4,1,12,sample128_3857eff1,1,12,1,0,15611,12544,1,1
sample026_cce061cf,1,12,sample051_cadff688,1,9,2,0,29076,15625,2,1
sample154_f1fb8e99,1,3,sample193_a3aba001,1,3,1,0,16404,15610,1,1
sample117_4997d25a,1,12,sample052_bcf1cb6d,1,3,2,0,15615,15624,1,1
sample089_101bfe11,1,12,sample063_768a6a1b,1,11,2,0,30733,15630,2,1
sample049_fae6bd3c,1,3,sample109_2f2d8c0a,1,12,1,0,16509,15659,1,1
sample161_04667130,1,12,sample190_762dfa42,1,8,1,0,30710,15633,2,1
sample131_26551668,1,12,sample135_743c9b1f,1,12,1,0,16452,15607,1,1
sample016_ac47e9d0,1,12,sample153_285b89ed,1,3,2,0,15671,15604,1,1
sample093_1c1b1da8,1,11,sample224_1fc3e356,1,6,1,0,30652,15646,2,1
