a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample125_1b5a54f4,1,12,sample006_fe39613e,1,12,1,0,903,992,1,1
sample125_1b5a54f4,1,12,sample008_056930c5,1,10,1,0,4144,1048,1,1
sample007_6d0d70d7,1,6,sample127_7d7b8f84,1,12,2,0,1855,1200,1,1
sample008_056930c5,1,10,sample127_7d7b8f84,1,12,1,0,1800,1384,1,1
sample009_36a064d0,1,12,sample127_7d7b8f84,1,12,2,0,8824,1264,1,1
sample128_3857eff1,1,12,sample004_a72e2802,1,3,2,0,1039,3103,1,2
sample007_6d0d70d7,1,6,sample128_3857eff1,1,12,1,0,2743,1519,1,1
sample128_3857eff1,1,12,sample008_056930c5,1,10,2,0,1752,1631,1,1
sample128_3857eff1,1,12,sample009_36a064d0,1,12,1,0,1919,1943,1,1
sample001_3c29c5ba,1,3,sample129_f22c6f56,1,12,2,0,2369,783,1,1
sample129_f22c6f56,1,12,sample003_627b76ff,1,10,1,0,2024,783,1,1
sample129_f22c6f56,1,12,sample004_a72e2802,1,3,2,0,1807,903,1,1
sample007_6d0d70d7,1,6,sample129_f22c6f56,1,12,1,0,4520,903,1,1
sample008_056930c5,1,10,sample129_f22c6f56,1,12,2,0,2672,895,1,1
sample010_86c5159a,1,11,sample129_f22c6f56,1,12,1,0,2311,4551,1,1
