a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample083_f5ef4dc7,1,12,sample004_a72e2802,1,3,2,0,18231,1920,3,1
sample112_44add070,1,8,sample003_627b76ff,1,10,1,0,1504,1528,1,1
sample004_a72e2802,1,3,sample124_3f5d1a8c,1,12,1,0,2072,1640,1,1
sample129_f22c6f56,1,12,sample009_36a064d0,1,12,1,0,1559,1176,1,1
sample001_3c29c5ba,1,3,sample130_ed256ee8,1,12,1,0,1520,1232,1,1
sample130_ed256ee8,1,12,sample002_4e908fd2,1,3,2,0,1241,1079,1,1
sample003_627b76ff,1,10,sample130_ed256ee8,1,12,1,0,1089,1208,1,1
sample004_a72e2802,1,3,sample130_ed256ee8,1,12,1,0,1680,1055,1,1
sample007_6d0d70d7,1,6,sample130_ed256ee8,1,12,1,0,1424,1439,1,1
sample010_86c5159a,1,11,sample130_ed256ee8,1,12,1,0,1521,1431,1,1
sample131_26551668,1,12,sample002_4e908fd2,1,3,1,0,1136,1048,1,1
sample003_627b76ff,1,10,sample131_26551668,1,12,1,0,1255,775,1,1
sample004_a72e2802,1,3,sample131_26551668,1,12,1,0,1232,1200,1,1
sample131_26551668,1,12,sample006_fe39613e,1,12,1,0,1327,1576,1,1
sample008_056930c5,1,10,sample131_26551668,1,12,1,0,985,1416,1,1
