a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample004_a72e2802,1,3,sample191_3361e30f,1,3,1,0,17319,16595,1,1
sample194_328dbd2a,1,12,sample002_4e908fd2,1,3,1,0,16598,16765,1,1
sample005_a84d1a77,1,10,sample195_26730d6d,1,10,1,0,16641,16533,1,1
sample003_627b76ff,1,10,sample200_d8677912,1,5,1,0,16559,16635,1,1
sample201_5430f370,1,3,sample005_a84d1a77,1,10,2,0,15515,15111,1,1
sample204_baf7f138,1,10,sample002_4e908fd2,1,3,1,0,17043,15075,1,1
sample006_fe39613e,1,12,sample205_29b101bc,1,10,1,0,16551,16595,1,1
sample217_6377ae91,1,12,sample007_6d0d70d7,1,6,2,0,16618,15444,1,1
sample226_2d7ef8de,1,12,sample006_fe39613e,1,12,2,0,15404,15083,1,1
sample230_47b01153,1,4,sample007_6d0d70d7,1,6,1,0,16573,15089,1,1
sample002_4e908fd2,1,3,sample232_cf98e3c8,1,3,2,0,15079,16612,1,1
sample232_cf98e3c8,1,3,sample007_6d0d70d7,1,6,2,0,15073,15092,1,1
sample235_ea92f26e,1,12,sample006_fe39613e,1,12,1,0,16537,15097,1,1
sample237_9472557e,1,3,sample002_4e908fd2,1,3,1,0,16574,15078,1,1
sample001_3c29c5ba,1,3,sample238_fdf5ca49,1,3,2,0,16559,15444,1,1
