a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample048_e4494277,1,12,sample028_28cee35c,1,8,2,0,61990,41155,5,5
sample215_cc025b5e,12,12,sample150_0515f210,3,3,2,0,2672,3768,1,1
sample109_2f2d8c0a,4,12,sample187_b0f03602,1,4,2,0,2392,1488,1,1
sample155_0163e391,9,10,sample245_2638b53c,4,7,2,0,4432,6600,1,1
sample169_2e4395a7,2,6,sample152_2c7a9e21,3,3,1,0,4648,2144,1,1
sample040_2bfbed5d,3,12,sample063_768a6a1b,1,11,2,0,5232,1528,1,1
sample055_fb292964,4,4,sample214_47d63bf9,5,11,1,0,800,2416,1,1
sample187_b0f03602,1,4,sample114_fdb345bb,2,3,1,0,4463,4992,1,1
sample094_6fbee84a,1,12,sample090_e7880a98,3,12,2,0,2592,12312,1,1
sample233_4e88157a,2,3,sample192_144a35f2,2,5,1,0,7112,13319,1,1
sample124_3f5d1a8c,3,12,sample163_35d6a180,2,12,2,0,1896,11151,1,2
sample022_dab4ef06,2,3,sample061_cdf92033,2,4,2,0,4584,456,1,1
sample060_c4420875,1,3,sample202_3a6e070e,1,6,2,0,4848,2608,1,1
sample138_f46547e5,3,12,sample220_5a48d9b6,1,6,2,0,15638,1415,1,1
sample112_44add070,4,8,sample064_0b854809,1,5,1,0,15658,2304,1,1
