a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample098_f5a9d2bc,1,3,sample008_056930c5,1,10,1,0,1712,1937,1,1
sample099_122a179d,1,6,sample002_4e908fd2,1,3,1,0,960,1175,1,1
sample003_627b76ff,1,10,sample099_122a179d,1,6,1,0,879,729,1,1
sample099_122a179d,1,6,sample004_a72e2802,1,3,1,0,641,1263,1,1
sample099_122a179d,1,6,sample005_a84d1a77,1,10,1,0,624,1024,1,1
sample099_122a179d,1,6,sample007_6d0d70d7,1,6,1,0,568,927,1,1
sample008_056930c5,1,10,sample099_122a179d,1,6,1,0,879,712,1,1
sample009_36a064d0,1,12,sample099_122a179d,1,6,2,0,785,936,1,1
sample099_122a179d,1,6,sample010_86c5159a,1,11,1,0,616,1232,1,1
sample107_a38717d4,2,12,sample009_36a064d0,1,12,1,0,1105,1062,1,1
sample010_86c5159a,1,11,sample107_a38717d4,1,12,2,0,1154,1446,1,1
sample001_3c29c5ba,1,3,sample108_d2b794a9,1,12,1,0,1919,874,1,1
sample108_d2b794a9,1,12,sample003_627b76ff,1,10,2,0,4105,3047,1,2
sample001_3c29c5ba,1,3,sample112_44add070,1,8,1,0,768,1000,1,1
sample112_44add070,1,8,sample002_4e908fd2,1,3,1,0,935,679,1,1
